Activity,name,duration,depends
A,Site Assessment,2,[]
B,Master Plan Development,4,['A']
C,Energy/Water/Demand Estimation,2,['B']
D,Feasibility Study,3,['B']
E,Excavation and Earthworks,4,['D']
F,Building Construction,24,['E']
G,River and Lake Installation,6,['E']
H,Vertical Garden Setup,8,['F']
I,Transportation Facility Construction,8,['E']
J,Solar Panel Site Selection,2,['B']
K,Solar Panel Installation,8,"['J', 'F']"
L,Inverter and Wiring Setup,4,['K']
M,Battery Storage Integration,4,['L']
N,Grid Connection,2,['M']
O,Water Treatment Plant Design,4,['D']
P,Water Intake System,4,['O']
Q,Pre-Treatment Installation,4,['P']
R,Reverse Osmosis System,6,['Q']
S,Post-Treatment and Storage,4,['R']
T,Distribution Network,4,"['S', 'G']"
U,System Integration,4,"['N', 'T', 'I']"
V,Initial Testing (Energy),2,['N']
W,Initial Testing (Water),2,['T']
X,Transportation Testing,2,"['I', 'U']"
Y,Ecosystem Validation,4,"['T', 'H']"
Z,Landscaping and Aesthetics,4,"['G', 'Y']"
AA,Safety and Accessibility,2,"['F', 'I', 'Z']"
AB,Final Inspections,2,"['U', 'V', 'W', 'X', 'AA']"
AC,Commissioning,1,['AB']
AD,Maintenance Plan,2,['AC']
