Activity,Description,Duration,ES,EF,LS,LF,Slack,Critical
A,Site Assessment,24,0,24,0,24,0,Yes
B,Master Plan Development,38,24,62,24,62,0,Yes
C,Energy/Water Demand Estimation,21,62,83,424,445,362,No
D,Feasibility Study,30,62,92,62,92,0,Yes
J,Solar Panel Site Selection,14,62,76,276,290,214,No
O,Water Treatment Plant Design,21,92,113,256,277,164,No
E,Excavation and Earthworks,31,92,123,92,123,0,Yes
P,Water Intake System,14,113,127,277,291,164,No
G,River and Lake Installation,70,123,193,270,340,147,No
F,Building Construction,154,123,277,123,277,0,Yes
I,Transportation Facility Construction,42,123,165,349,391,226,No
Q,Pre-Treatment Installation,14,127,141,291,305,164,No
R,Reverse Osmosis System,21,141,162,305,326,164,No
S,Post-Treatment and Storage,14,162,176,326,340,164,No
T,Distribution Network,21,193,214,340,361,147,No
W,Initial Testing (Water),28,214,242,389,417,175,No
K,Solar Panel Installation,31,277,308,290,321,13,No
H,Vertical Garden Setup,84,277,361,277,361,0,Yes
L,Inverter and Wiring Setup,24,308,332,321,345,13,No
M,Battery Storage Integration,35,332,367,345,380,13,No
Y,Ecosystem Validation,28,361,389,361,389,0,Yes
N,Grid Connection,9,367,376,380,389,13,No
V,Initial Testing (Energy),28,376,404,389,417,13,No
U,System Integration,5,376,381,391,396,15,No
X,Transportation Testing,21,381,402,396,417,15,No
Z,Landscaping and Aesthetics,21,389,410,389,410,0,Yes
AA,Safety and Accessibility,7,410,417,410,417,0,Yes
AB,Final Inspections,7,417,424,417,424,0,Yes
AC,Commissioning,7,424,431,424,431,0,Yes
AD,Maintenance Plan,14,431,445,431,445,0,Yes
