Activity ID,Activity Name,Normal Duration (Days),Crash Duration (Days),Direct Costs ($M),Overhead/Indirect Costs ($M),Normal Cost ($M),Crash Cost ($M),Resource Demand (Workers),depends,Status,Update Date,early_start,early_finish,duration_days
A,Site Assessment,24,14,0.02,0.003,0.023,0.025,5,[],Completed,2024-04-15,2024-01-01,2024-01-25,24
B,Master Plan Development,38,28,0.1,0.015,0.115,0.125,10,['A'],Completed,2024-04-15,,,38
C,Energy/Water Demand Estimation,21,14,0.01,0.002,0.012,0.014,5,['B'],Completed,2024-04-15,,,21
D,Feasibility Study,21,21,0.08,0.012,0.10199999,0.102,8,['B'],Started,2024-04-15,,,21
E,Excavation and Earthworks,24,24,0.2,0.03,0.24999998,0.25,20,['D'],Started,2024-04-15,,,24
F,Building Construction,140,140,500.0,75.0,575.19999994,575.2,50,['E'],Not Started,2024-04-15,,,140
G,River and Lake Installation,70,56,1.75,0.26,2.01,2.03,15,['E'],Not Started,2024-04-15,,,70
H,Vertical Garden Setup,70,70,1.0,0.15,1.1699999799999998,1.17,10,['F'],Not Started,2024-04-15,,,70
I,Transportation Facility Construction,14,10,2.0,0.3,2.3,2.32,15,['E'],Not Started,2024-04-15,,,14
J,Solar Panel Site Selection,42,35,0.01,0.002,0.012,0.014,5,['B'],Not Started,2024-04-15,,,42
K,Solar Panel Installation,31,24,5.0,0.75,5.75,5.79,20,"['J', 'F']",Not Started,2024-04-15,,,31
L,Inverter and Wiring Setup,14,14,0.1,0.015,0.125,0.125,10,['K'],Not Started,2024-04-15,,,14
M,Battery Storage Integration,35,28,0.1,0.015,0.115,0.125,10,['L'],Not Started,2024-04-15,,,35
N,Grid Connection,9,7,0.05,0.0075,0.0575,0.0625,5,['M'],Not Started,2024-04-15,,,9
O,Water Treatment Plant Design,21,14,0.08,0.012,0.092,0.102,8,['D'],Not Started,2024-04-15,,,21
P,Water Intake System,14,10,0.1,0.015,0.115,0.125,10,['O'],Not Started,2024-04-15,,,14
Q,Pre-Treatment Installation,14,10,0.1,0.015,0.115,0.125,10,['P'],Not Started,2024-04-15,,,14
R,Reverse Osmosis System,21,14,0.15,0.0225,0.1725,0.2025,15,['Q'],Not Started,2024-04-15,,,21
S,Post-Treatment and Storage,14,10,0.1,0.015,0.115,0.125,10,['R'],Not Started,2024-04-15,,,14
T,Distribution Network,21,17,0.15,0.0225,0.1725,0.1825,15,"['S', 'G']",Not Started,2024-04-15,,,21
U,System Integration,3,3,0.2,0.03,0.23,0.25,20,"['N', 'T', 'I']",Not Started,2024-04-15,,,3
V,Initial Testing (Energy),21,21,0.01,0.002,0.01399997,0.014,5,['N'],Not Started,2024-04-15,,,21
W,Initial Testing (Water),28,21,0.01,0.002,0.012,0.014,5,['T'],Not Started,2024-04-15,,,28
X,Transportation Testing,17,17,0.01,0.002,0.014,0.014,5,"['I', 'U']",Not Started,2024-04-15,,,17
Y,Ecosystem Validation,24,24,0.1,0.015,0.125,0.125,10,"['T', 'H']",Not Started,2024-04-15,,,24
Z,Landscaping and Aesthetics,14,14,0.15,0.0225,0.18249999,0.1825,15,"['G', 'Y']",Not Started,2024-04-15,,,14
AA,Safety and Accessibility,5,5,0.01,0.002,0.014,0.014,5,"['F', 'I', 'Z']",Not Started,2024-04-15,,,5
AB,Final Inspections,6,6,0.01,0.002,0.014,0.014,5,"['U', 'V', 'W', 'X', 'AA']",Not Started,2024-04-15,,,6
AC,Commissioning,6,6,0.01,0.002,0.014,0.014,5,['AB'],Not Started,2024-04-15,,,6
AD,Maintenance Plan,12,12,0.01,0.002,0.014,0.014,5,['AC'],Not Started,2024-04-15,,,12
